image_id,file_name,label,technique,difficulty,source_dataset,source_id,subject_id,model_name,model_version,prompt,negative_prompt,seed,steps,guidance_scale,strength,sampler,width,height,compression,split,is_active,difficulty_intended,deliberate_cues,visual_review
real_001,images/real_001.jpg,photo,original,unknown,prototype,real_001,subject_001,,,,,,,,,,960,910,JPEG,pilot,false,,,
fake_001,images/fake_001.webp,ai,synthetic_generation,unknown,prototype,fake_001,subject_002,unknown,unknown,,,,,,,,1024,768,WEBP,pilot,false,,,
pilot_real_015,pilot/real/IMG_9541.JPEG,photo,original,unknown,pilot_2026_09,pilot_real_015,pair_015,,,,,,,,,,1536,2048,JPEG,pilot,true,,,
pilot_ai_001,pilot/ai/pilot_ai_001.png,ai,text_to_image,unknown,pilot_2026_09,pilot_real_015,pair_015,built-in image_gen,not exposed by tool,"Use case: photorealistic-natural. Generate one new synthetic photograph from this text description only, for a research pilot. Portrait 3:4 composition. An ordinary handheld smartphone snapshot of a dark brown donkey standing close to the camera in a grassy mountain pasture, facing the viewer, entire body and hooves visible, long upright ears, pale grey muzzle, naturally textured shaggy fur. Donkey slightly left of center. Sloping green meadow with uneven long grass, scattered rocks at left, small conifer trees along the upper hillside, a thin electric fence in the background, pale blue sky with thin white clouds. Camera at the animal's head height, mild wide angle perspective. Natural soft daylight, everyday amateur travel photography, realistic grass and anatomy, ordinary phone processing, no cinematic grading, no artificial portrait blur. Single image, no collage, no border, no added text or watermark.",,,,,,,1086,1448,PNG,pilot,true,unknown,[],
pilot_real_009,pilot/real/IMG_6015.JPEG,photo,original,unknown,pilot_2026_09,pilot_real_009,pair_009,,,,,,,,,,1536,2048,JPEG,pilot,true,,,
pilot_ai_002,pilot/ai/pilot_ai_002.png,ai,text_to_image,unknown,pilot_2026_09,pilot_real_009,pair_009,built-in image_gen,not exposed by tool,"Use case: photorealistic-natural. Generate one new synthetic photograph from this text description only, for a research pilot. Portrait 3:4 composition. An ordinary handheld smartphone snapshot looking through the doorway into a compact bathroom. On the left foreground a white rectangular sink with chrome single lever tap and a white vanity with drawers and dark handles. A small wooden reed diffuser sits to the left of the sink, neatly stacked white towels beside it. Above is a rectangular wall mirror reflecting the opposite tiled wall and shower, with a rectangular lamp above the mirror. In the center behind the sink is a white toilet with closed lid and folded white towels on its cistern. Across the rear wall is a glass sliding shower enclosure with metal frame, a chrome shower fixture and diagonal grab bar inside. Large warm light grey rectangular wall tiles, dark charcoal floor tiles, white ceiling with a bright ceiling light and ventilation grille. Mild wide angle smartphone perspective and slightly uneven warm indoor exposure, realistic reflections and spatial geometry, everyday accommodation snapshot, no stylized rendering or cinematic grading. Single image, no collage, no border, no added text or watermark.",,,,,,,1086,1448,PNG,pilot,true,unknown,[],
pilot_real_002,pilot/real/IMG_0233.JPEG,photo,original,unknown,pilot_2026_09,pilot_real_002,pair_002,,,,,,,,,,1536,2048,JPEG,pilot,true,,,
pilot_ai_003,pilot/ai/pilot_ai_003.png,ai,text_to_image,unknown,pilot_2026_09,pilot_real_002,pair_002,built-in image_gen,not exposed by tool,"Use case: photorealistic-natural. Generate one entirely new synthetic photograph from this text description only for a research pilot. Portrait 3:4. Ordinary smartphone travel snapshot of five white wind turbines across dry rocky brown rolling hills, largest turbine right of center, smaller turbines receding left and center, sparse scrub and angular stones in foreground, vast clear blue sky filling upper half, bright afternoon sun from left, distant hazy mountains. Everyday amateur exposure and natural irregular textures; physically plausible three-bladed turbines. No cinematic grading, no illustration, no border, no added text or watermark.",,,,,,,1086,1448,PNG,pilot,true,hard,[],
pilot_real_003,pilot/real/IMG_0737.JPEG,photo,original,unknown,pilot_2026_09,pilot_real_003,pair_003,,,,,,,,,,1242,2208,JPEG,pilot,true,,,
pilot_ai_004,pilot/ai/pilot_ai_004.png,ai,text_to_image,unknown,pilot_2026_09,pilot_real_003,pair_003,built-in image_gen,not exposed by tool,"Use case: photorealistic-natural. Asset type: synthetic image for a visual AI-recognition research pilot. Generate one new image from this text description only. Portrait 9:16. A narrow rocky forest gorge with a shallow stream winding from the center background toward the bottom left, wet irregular grey boulders in foreground, steep moss-covered rock walls especially right, hanging bare conifer branches above, dense green leaves, small ferns and damp grasses. Dappled soft daylight, ordinary hiking smartphone snapshot. Single image, no collage, no border, no added watermark or explanatory text. Preserve ordinary photographic framing.",,,,,,,941,1672,PNG,pilot,true,hard,[],
pilot_real_004,pilot/real/IMG_0744.JPEG,photo,original,unknown,pilot_2026_09,pilot_real_004,pair_004,,,,,,,,,,2048,1536,MPO,pilot,true,,,
pilot_ai_005,pilot/ai/pilot_ai_005.png,ai,text_to_image,unknown,pilot_2026_09,pilot_real_004,pair_004,built-in image_gen,not exposed by tool,"Use case: photorealistic-natural. Asset type: synthetic image for a visual AI-recognition research pilot. Generate one new image from this text description only. Landscape 4:3. Wide elevated view across a central European village in a green valley, small pale houses with red roofs across the lower third, patchwork meadows and dark conifer-covered rounded hills, large blue sky with scattered small white clouds taking upper half, midday summer light. Slightly over-polished HDR phone-photo appearance and slightly repetitive distant tree textures, still photograph-like. Single image, no collage, no border, no added watermark or explanatory text. Preserve ordinary photographic framing.",,,,,,,1448,1086,PNG,pilot,true,medium,"[""slightly over-polished HDR"", ""repetitive tree textures""]",
pilot_real_005,pilot/real/IMG_2139.JPEG,photo,original,unknown,pilot_2026_09,pilot_real_005,pair_005,,,,,,,,,,1536,2048,JPEG,pilot,true,,,
pilot_ai_006,pilot/ai/pilot_ai_006.png,ai,text_to_image,unknown,pilot_2026_09,pilot_real_005,pair_005,built-in image_gen,not exposed by tool,"Use case: photorealistic-natural. Asset type: synthetic image for a visual AI-recognition research pilot. Generate one new image from this text description only. Portrait 3:4. Two reticulated giraffes in a sunny zoo enclosure. One close in the left center facing camera with head slightly turned, neck and long legs visible, another further back on right. Bare feeding branches cross in front, green trees and wire fence behind, beige dirt floor and large grey foreground rocks, blue sky. Mildly too smooth fur and overly regular reticulated coat pattern, slightly glossy eyes, but plausible anatomy and ordinary travel composition. Single image, no collage, no border, no added watermark or explanatory text. Preserve ordinary photographic framing.",,,,,,,1086,1448,PNG,pilot,true,medium,"[""overly regular coat pattern"", ""smooth fur and glossy eyes""]",
pilot_real_001,pilot/real/7afe5a1e-505d-4699-ac15-f0e65578de0d.JPEG,photo,original,unknown,pilot_2026_09,pilot_real_001,pair_001,,,,,,,,,,1536,2048,JPEG,pilot,true,,,
pilot_ai_007,pilot/ai/pilot_ai_007.png,ai,text_to_image,unknown,pilot_2026_09,pilot_real_001,pair_001,built-in image_gen,not exposed by tool,"Use case: photorealistic-natural. Asset type: synthetic image for a visual AI-recognition research pilot. Generate one new image from this text description only. Portrait 3:4. Looking down at a large fluffy silver-grey tabby Maine Coon cat reclining diagonally across a round pale yellow cafe table, bushy tail curving at bottom, head upper center turned right and paw stretched toward a glass sugar dispenser. Honey-brown bentwood chairs around table, cat portrait cushion on right chair, pink printed menu behind cat, warm beige wall and grey tiled floor, green exit sign upper left. Make a recognizably synthetic but photo-like version: overly silky uniform fur, a slightly malformed extended paw, and menu writing resembling garbled letter-like marks. No extreme deformation. Single image, no collage, no border, no added watermark or explanatory text. Preserve ordinary photographic framing.",,,,,,,1086,1448,PNG,pilot,true,easy,"[""uniform silky fur"", ""malformed paw"", ""garbled menu text""]",Rounded extended paw and smooth fur; menu mostly legible. Intended easy difficulty not confirmed.
pilot_real_006,pilot/real/IMG_2167.JPEG,photo,original,unknown,pilot_2026_09,pilot_real_006,pair_006,,,,,,,,,,1536,2048,JPEG,pilot,true,,,
