ai_id,original,ai_file,difficulty_intended,difficulty_status,deliberate_cues,visual_review
pilot_ai_001,real/IMG_9541.JPEG,ai/pilot_ai_001.png,not_assigned,not empirically validated,,
pilot_ai_002,real/IMG_6015.JPEG,ai/pilot_ai_002.png,not_assigned,not empirically validated,,
pilot_ai_003,real/IMG_0233.JPEG,ai/pilot_ai_003.png,hard,not empirically validated,,
pilot_ai_004,real/IMG_0737.JPEG,ai/pilot_ai_004.png,hard,not empirically validated,,
pilot_ai_005,real/IMG_0744.JPEG,ai/pilot_ai_005.png,medium,not empirically validated,slightly over-polished HDR; repetitive tree textures,
pilot_ai_006,real/IMG_2139.JPEG,ai/pilot_ai_006.png,medium,not empirically validated,overly regular coat pattern; smooth fur and glossy eyes,
pilot_ai_007,real/7afe5a1e-505d-4699-ac15-f0e65578de0d.JPEG,ai/pilot_ai_007.png,easy,not empirically validated,uniform silky fur; malformed paw; garbled menu text,Rounded extended paw and smooth fur; menu mostly legible. Intended easy difficulty not confirmed.
pilot_ai_008,real/IMG_2167.JPEG,ai/pilot_ai_008.png,easy,not empirically validated,inconsistent staircase rail connections; waxy foliage,Clearly warped and merged white railing elements and irregular stair geometry.
pilot_ai_009,real/IMG_2190.JPEG,ai/pilot_ai_009.png,medium,not empirically validated,overly regular lattice; over-smoothed water,
pilot_ai_010,real/IMG_2329.JPEG,ai/pilot_ai_010.png,easy,not empirically validated,garbled chalkboard lettering; merged tap fittings,Most lettering is legible; requested garbled text did not materialize strongly. Intended easy difficulty not confirmed.
pilot_ai_011,real/IMG_6210.JPEG,ai/pilot_ai_011.png,medium,not empirically validated,over-polished surfaces; inconsistent handle proportions,
pilot_ai_012,real/IMG_6434.JPEG,ai/pilot_ai_012.png,hard,not empirically validated,,
pilot_ai_013,real/IMG_8806.JPEG,ai/pilot_ai_013.png,easy,not empirically validated,extra foreleg; merged background legs,Nearest cow has five visible legs; clear anatomical cue.
pilot_ai_014,real/IMG_9257.JPEG,ai/pilot_ai_014.png,hard,not empirically validated,,
pilot_ai_015,real/IMG_9440.JPEG,ai/pilot_ai_015.png,medium,not empirically validated,exaggerated turquoise; over-crisp rocks; silky water,
